,Source,Target,Link
1775,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1776,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=mfUQjmQ8Ck0,1
1777,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=WDKEYlIeiVk,1
1778,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=VEjDsAnupB8,1
1779,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-0QvjiG4sYM,1
1780,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ZiqwEkjqcgc,1
1781,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=XYMj29WOpGg,1
1782,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=PC8GZLi7d7o,1
1783,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ffg6mN80Ygc,1
1784,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=IjVjkPEk3eQ,1
1785,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xlNT2BQaWRg,1
1786,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=pMiqlgdcpb0,1
1787,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=5Gg6F7V0HDA,1
1788,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=1BMhKFNoG94,1
1789,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=f0KMz_AUBFM,1
1790,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=2SAWeR6l-cs,1
1791,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0A7w7aj0jtk,1
1792,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OHl0VRRNxAE,1
1793,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6WVNtQB5FPs,1
1794,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=SmpfavT-9zI,1
1795,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1796,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=AFj2yyN9DjM,1
1797,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zopTkefjBFI,1
1798,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=9e4B1AbMOko,1
1799,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=pMurBQuBU2w,1
1800,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=M3ZrBunSPsQ,1
1801,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=9e4B1AbMOko,1
1802,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Tpe_bEvfd90,1
1803,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=b1Vi4YGMGkk,1
1804,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6WVNtQB5FPs,1
1805,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=FneVxGLF1zU,1
1806,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1807,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Jrfs2IxCOgk,1
1808,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=h_re2_FTc-Q,1
1809,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zopTkefjBFI,1
1810,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=oNpzeIdOtlk,1
1811,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=umDYDdC3CHA,1
1812,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1813,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1814,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=VEjDsAnupB8,1
1815,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=_xBkp9fslQE,1
1816,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0VDbf9VsZ88,1
1817,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=LQI2YInFMAk,1
1818,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=PgwluZdJwpo,1
1819,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Zg6NHtJEu3Y,1
1820,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=2yIjg17A6Oo,1
1821,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zopTkefjBFI,1
1822,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=2xsbt3a7K-8,1
1823,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xukWkOv4a-w,1
1824,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6WVNtQB5FPs,1
1825,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=S1cSA21DSU8,1
1826,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1827,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=3gZQOJxptyc,1
1828,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1829,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=_CK_z0UhaQk,1
1830,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xGp3FflT3mM,1
1831,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=PC8GZLi7d7o,1
1832,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1833,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=KNdFBDz0B3g,1
1834,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=UifKZH2fxM8,1
1835,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=w67IDMY2tn8,1
1836,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=YqUmE7U-lNE,1
1837,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=RmhGsMkqJJ4,1
1838,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Fg0Ku7_V-94,1
1839,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=f8enlSLorhM,1
1840,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1841,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=JhkR1KoECdY,1
1842,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=MzIOidaeFC0,1
1843,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=PC8GZLi7d7o,1
1844,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=9mpwlkc2a5s,1
1845,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=NznMbYuaf9Q,1
